,state,composite_act_17,participation_act_17,composite_act_18,participation_act_18,composite_act_19,participation_act_19,composite_mean,participation_mean
0,Alabama,19.2,100.0,19.1,100.0,18.9,100.0,19.066666666666666,100.0
1,Alaska,19.8,65.0,20.8,33.0,20.1,38.0,20.233333333333334,45.333333333333336
2,Arizona,19.7,62.0,19.2,66.0,19.0,73.0,19.3,67.0
3,Arkansas,19.4,100.0,19.4,100.0,19.3,100.0,19.366666666666664,100.0
4,California,22.8,31.0,22.7,27.0,22.6,23.0,22.7,27.0
5,Colorado,20.8,100.0,23.9,30.0,23.8,27.0,22.833333333333332,52.333333333333336
6,Connecticut,25.2,31.0,25.6,26.0,25.5,22.0,25.433333333333334,26.333333333333332
7,Delaware,24.1,18.0,23.8,17.0,24.1,13.0,24.0,16.0
8,District of Columbia,24.2,32.0,23.6,32.0,23.5,32.0,23.766666666666666,32.0
9,Florida,19.8,73.0,19.9,66.0,20.1,54.0,19.933333333333334,64.33333333333333
10,Georgia,21.4,55.0,21.4,53.0,21.4,49.0,21.399999999999995,52.333333333333336
11,Hawaii,19.0,90.0,18.9,89.0,19.0,80.0,18.966666666666665,86.33333333333333
12,Idaho,22.3,38.0,22.3,36.0,22.5,31.0,22.366666666666664,35.0
13,Illinois,21.4,93.0,23.9,43.0,24.3,35.0,23.2,57.0
14,Indiana,22.6,35.0,22.5,32.0,22.5,29.0,22.53333333333333,32.0
15,Iowa,21.9,67.0,21.8,68.0,21.6,66.0,21.76666666666667,67.0
16,Kansas,21.7,73.0,21.6,71.0,21.2,72.0,21.5,72.0
17,Kentucky,20.0,100.0,20.2,100.0,19.8,100.0,20.0,100.0
18,Louisiana,19.5,100.0,19.2,100.0,18.8,100.0,19.166666666666668,100.0
19,Maine,24.3,8.0,24.0,7.0,24.3,6.0,24.2,7.0
20,Maryland,23.6,28.0,22.5,31.0,22.3,28.0,22.8,29.0
21,Massachusetts,25.4,29.0,25.5,25.0,25.5,21.0,25.46666666666667,25.0
22,Michigan,24.1,29.0,24.2,22.0,24.4,19.0,24.23333333333333,23.333333333333332
23,Minnesota,21.5,100.0,21.3,99.0,21.4,95.0,21.399999999999995,98.0
24,Mississippi,18.6,100.0,18.6,100.0,18.4,100.0,18.533333333333335,100.0
25,Missouri,20.4,100.0,20.0,100.0,20.8,82.0,20.400000000000002,94.0
26,Montana,20.3,100.0,20.0,100.0,19.8,100.0,20.03333333333333,100.0
27,Nebraska,21.4,84.0,20.1,100.0,20.0,100.0,20.5,94.66666666666667
28,Nevada,17.8,100.0,17.7,100.0,17.9,100.0,17.8,100.0
29,New Hampshire,25.5,18.0,25.1,16.0,25.0,14.0,25.2,16.0
30,New Jersey,23.9,34.0,23.7,31.0,24.2,25.0,23.933333333333334,30.0
31,New Mexico,19.7,66.0,19.4,67.0,19.3,63.0,19.466666666666665,65.33333333333333
32,New York,24.2,31.0,24.5,27.0,24.5,22.0,24.400000000000002,26.666666666666668
33,North Carolina,19.1,100.0,19.1,100.0,19.0,100.0,19.066666666666666,100.0
34,North Dakota,20.3,98.0,20.3,98.0,19.9,96.0,20.166666666666668,97.33333333333333
35,Ohio,22.0,75.0,20.3,100.0,20.0,100.0,20.766666666666666,91.66666666666667
36,Oklahoma,19.4,100.0,19.3,100.0,18.9,100.0,19.2,100.0
37,Oregon,21.8,40.0,21.3,42.0,21.1,42.0,21.400000000000002,41.333333333333336
38,Pennsylvania,23.7,23.0,23.5,20.0,23.6,17.0,23.600000000000005,20.0
39,Rhode Island,24.0,21.0,24.2,15.0,24.7,12.0,24.3,16.0
40,South Carolina,18.7,100.0,18.3,100.0,18.8,78.0,18.599999999999998,92.66666666666667
41,South Dakota,21.8,80.0,21.9,77.0,21.6,75.0,21.76666666666667,77.33333333333333
42,Tennessee,19.8,100.0,19.6,100.0,19.4,100.0,19.6,100.0
43,Texas,20.7,45.0,20.7,45.0,20.5,39.0,20.633333333333333,43.0
44,Utah,20.3,100.0,20.4,100.0,20.3,100.0,20.333333333333332,100.0
45,Vermont,23.6,29.0,24.1,24.0,24.1,20.0,23.933333333333337,24.333333333333332
46,Virginia,23.8,29.0,23.9,24.0,24.0,21.0,23.900000000000002,24.666666666666668
47,Washington,21.9,29.0,22.2,24.0,22.1,24.0,22.066666666666663,25.666666666666668
48,West Virginia,20.4,69.0,20.3,65.0,20.8,49.0,20.5,61.0
49,Wisconsin,20.5,100.0,20.5,100.0,20.3,100.0,20.433333333333334,100.0
50,Wyoming,20.2,100.0,20.0,100.0,19.8,100.0,20.0,100.0
